n_reinas,epochs,best_cost,schedule
19,432260,0,"{'tmax': 72.0, 'tmin': 0.1, 'steps': 660000, 'updates': 100}"
19,401632,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 660000, 'updates': 100}"
19,419215,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 660000, 'updates': 100}"
20,402356,0,"{'tmax': 36.0, 'tmin': 0.087, 'steps': 600000, 'updates': 100}"
20,406980,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 600000, 'updates': 100}"
20,414600,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 610000, 'updates': 100}"
20,458322,0,"{'tmax': 54.0, 'tmin': 0.2, 'steps': 600000, 'updates': 100}"
20,459377,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 610000, 'updates': 100}"
20,308397,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 610000, 'updates': 100}"
20,419001,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 600000, 'updates': 100}"
20,448243,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 600000, 'updates': 100}"
20,410583,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 610000, 'updates': 100}"
20,340520,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 610000, 'updates': 100}"
20,445388,0,"{'tmax': 51.0, 'tmin': 0.17, 'steps': 600000, 'updates': 100}"
20,399565,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 610000, 'updates': 100}"
20,370098,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 610000, 'updates': 100}"
20,452348,0,"{'tmax': 51.0, 'tmin': 0.17, 'steps': 610000, 'updates': 100}"
20,445380,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 610000, 'updates': 100}"
20,420255,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 610000, 'updates': 100}"
20,452005,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 610000, 'updates': 100}"
20,427408,0,"{'tmax': 51.0, 'tmin': 0.17, 'steps': 610000, 'updates': 100}"
20,383825,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 600000, 'updates': 100}"
20,418457,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 600000, 'updates': 100}"
21,406687,0,"{'tmax': 57.0, 'tmin': 0.13, 'steps': 560000, 'updates': 100}"
